TYPE	OCC	ZOOM
traffic_hd	1	9
standard	2	19,14
photo	1	17
traffic_hd	1	11
standard	1	12
photo	1	18
traffic_hd	1	11
photo	1	17
standard	1	18
photo	1	17
traffic_hd	2	9,11
photo	10	18,12,17
traffic_hd	1	9
photo	2	12,17
standard	1	19
traffic_hd	1	9
public_transport_hd	1	17
standard_hd	1	17
photo	1	11
standard	1	19
photo	3	15
standard_hd	1	16
public_transport_hd	1	17
photo	2	15,14
public_transport_hd	1	17
photo	5	14,19
traffic_hd	2	15,18
photo	1	19
public_transport_hd	1	17
standard_hd	3	16
standard	2	19
photo	1	18
traffic_hd	1	18
standard_hd	1	18
traffic_hd	1	18
photo	1	14
standard_hd	2	14,16
photo	2	14
standard_hd	1	16
photo	1	14
standard_hd	2	18
photo	3	14
traffic_hd	1	10
standard	1	16
public_transport_hd	1	17
photo	1	14
standard_hd	3	14,6,16
photo	1	14
standard_hd	1	19
traffic_hd	1	18
photo	2	14
public_transport_hd	1	17
photo	5	18,14
standard_hd	1	16
photo	1	14
standard	2	14,19
photo	1	19
traffic_hd	1	16
photo	1	12
traffic	1	15
photo	1	19
traffic_hd	2	16
standard_hd	2	16
photo	1	19
standard	2	19,16
standard_hd	1	17
public_transport_hd	1	17
standard	1	11
standard_hd	1	19
public_transport_hd	1	17
photo	2	18,19
standard_hd	1	19
standard	1	19
photo	2	18
standard_hd	2	19,16
photo	3	16
standard_hd	1	16
photo	1	16
traffic_hd	1	16
photo	1	17
standard_hd	4	19,14,15
standard	1	17
standard_hd	1	19
standard	1	14
photo	1	19
standard_hd	5	12,16,18
standard	1	17
standard_hd	1	19
standard	3	17,19
standard_hd	2	18,17
photo	2	18
standard_hd	4	17
photo	1	18
traffic_hd	2	17
standard_hd	2	17
standard	2	19,15
photo	2	11,18
standard	1	19
photo	1	18
standard	2	14,19
photo	2	18
traffic_hd	2	10,14
photo	1	18
public_transport_hd	1	17
photo	2	18
standard_hd	3	17,6
traffic_hd	1	10
standard_hd	1	17
photo	1	19
standard_hd	1	17
standard	3	17,14
public_transport_hd	1	17
standard_hd	2	17
standard	1	14
standard_hd	5	19,17
photo	3	12,13
public_transport_hd	1	17
photo	6	13
standard	2	16
public_transport_hd	2	17
standard	1	16
standard_hd	1	19
traffic_hd	1	7
standard_hd	2	16,19
traffic_hd	1	7
photo	1	17
traffic_hd	2	13,17
photo	3	17,15
traffic_hd	1	17
photo	7	17,15
standard_hd	1	18
photo	2	17,19
standard_hd	1	15
photo	3	19,17
standard_hd	1	17
photo	1	15
standard_hd	1	17
photo	2	17,13
public_transport_hd	2	17
standard	1	19
photo	1	18
public_transport_hd	1	17
traffic	1	12
traffic_hd	2	18
standard_hd	1	16
standard	1	17
photo	3	18
standard	3	12,19
traffic_hd	1	9
photo	1	18
standard	1	17
standard_hd	1	16
photo	1	9
standard_hd	5	14,16,19
traffic_hd	1	18
standard_hd	4	16,18,11
standard	1	18
photo	1	18
standard_hd	1	15
standard	1	18
standard_hd	1	14
standard	1	14
photo	4	18
standard	2	14
photo	1	9
